Cruise,Station,state,rep,7.5,12.5,17.5,22.5,27.5,32.5,37.5,42.5,47.5
2245,1,c0,1,127.4173229,53.82283466,24.16535434,31.85433072,13.18110237,9.885826774,5.492125986,4.393700789,8.787401577
2245,1,c0,2,107.6595745,40.37234042,21.53191489,25.56914893,18.84042553,9.420212765,6.728723404,5.382978723,17.49468085
2245,1,c0,3,277.6666665,34.02777776,16.33333332,24.49999999,10.88888888,12.24999999,4.083333331,1.36111111,10.88888888
2245,1,c24,1,84.16289595,23.07692308,18.32579186,8.823529414,1.357466064,2.714932127,6.108597286,1.357466064,4.072398191
2245,1,c24,2,74.8679245,21.83647798,10.13836478,7.018867922,2.339622641,2.339622641,0.779874214,1.559748427,3.119496854
2245,1,c24,3,240.233463,40.03891051,17.35019455,14.68093385,4.003891051,5.338521401,6.673151751,8.007782101,6.673151751
2245,1,t24,1,48.72350231,24.61290323,12.55760369,6.529953917,5.023041475,2.00921659,3.013824885,3.516129032,3.013824885
2245,1,t24,2,94.50549451,24.72527473,9.340659341,9.340659341,2.747252747,1.648351648,2.747252747,2.197802198,2.747252747
2245,1,t24,3,98.17045457,19.87500001,14.45454546,5.420454547,9.034090912,0.602272727,2.40909091,1.806818182,1.204545455
2245,5,c0,1,164.9617021,22.65957447,16.31489362,4.531914894,3.625531915,0.906382979,0,0,0
2245,5,c0,2,119.8153846,28.13846154,15.43076923,9.984615387,0.907692308,0.907692308,0.907692308,0.907692308,0
2245,5,c0,3,240.3527778,49.35,21.93333333,11.88055556,2.741666667,0.913888889,0.913888889,0.913888889,0
2245,5,c24,1,88.03361343,10.8907563,4.537815125,1.81512605,0,0.907563025,0.907563025,0,0.907563025
2245,5,c24,2,41.875,12.84166667,7.258333334,2.791666667,1.116666667,1.116666667,0,0,0
2245,5,c24,3,79.67484665,17.02453988,8.171779144,0.680981595,1.361963191,1.361963191,0,0.680981595,2.042944786
2245,5,t24,1,63.68279569,17.16666666,9.413978493,7.752688171,2.215053763,2.215053763,0.553763441,0,0
2245,5,t24,2,42.11965812,10.94017094,3.282051282,2.735042735,2.735042735,1.094017094,0,0.547008547,0.547008547
2245,5,t24,3,156.9107143,45.05357142,22.52678571,13.20535714,10.875,7.767857142,3.107142857,0.776785714,0.776785714
2245,9,c0,1,388.8036252,37.86102717,30.58006041,13.10574018,7.280966764,1.456193353,0,1.456193353,1.456193353
2245,9,c0,2,138.7619047,36.9047619,14.76190476,17.71428571,2.952380952,0,0,1.476190476,4.428571428
2245,9,c0,3,99.53658536,23.47560975,14.08536585,10.32926829,2.817073171,2.817073171,0,0.93902439,0
2245,9,c24,1,78.39912281,21.38157895,9.868421053,4.934210526,2.74122807,3.289473684,1.096491228,0.548245614,2.74122807
2245,9,c24,2,55.81578946,13.26315789,4.973684209,2.763157894,2.210526315,2.763157894,0.552631579,0,1.657894736
2245,9,c24,3,23.0625,7.874999999,2.8125,0.5625,0.5625,0,0,0.5625,0.5625
2245,9,t24,1,67.70718233,19.24309393,12.82872928,9.265193371,7.839779007,3.563535912,2.138121547,2.85082873,3.563535912
2245,9,t24,2,59.95945947,17.22972973,11.71621622,6.202702703,1.378378379,2.067567568,0.689189189,1.378378379,1.378378379
2245,9,t24,3,30.96638655,16.32773109,6.193277311,6.193277311,1.12605042,2.25210084,0.56302521,1.12605042,2.25210084
2164,1,c0,1,222.3603604,38.86786788,20.7897898,9.942942946,3.615615617,5.423423425,0,0,0
2164,1,c0,2,153.5201794,30.33632287,9.192825113,5.515695068,3.677130045,0.919282511,0,0,1.838565023
2164,1,c0,3,98.12775333,21.40969164,8.920704848,3.568281939,1.78414097,0.594713657,0,0,0.594713657
2164,1,c24,1,74.5755814,11.15697674,7.046511628,4.110465116,0,1.174418605,2.936046512,0,0
2164,1,c24,2,63.00000001,12.25,5.833333334,1.75,0.583333333,0,0,0,0.583333333
2164,1,c24,3,83.05988022,7.550898202,2.323353293,1.161676646,2.904191616,0,0,0,0
2164,1,t24,1,39.27586207,13.48275862,5.275862069,0.586206897,5.862068965,0.586206897,1.172413793,0,1.75862069
2164,1,t24,2,128.278302,61.25000003,21.95754718,18.49056605,4.622641512,2.311320756,1.155660378,1.155660378,5.77830189
2164,1,t24,3,192.1529746,100.5977338,62.16713884,18.08498584,14.694051,6.781869692,0,2.260623231,2.260623231
2164,3,c0,1,453.4363143,52.48780487,13.12195122,10.20596206,4.37398374,0,2.91598916,0,1.45799458
2164,3,c0,2,890.0999989,55.26764699,11.6352941,14.54411763,5.817647052,2.908823526,5.817647052,2.908823526,0
2164,3,c0,3,487.747508,40.32558137,28.80398669,11.52159468,1.92026578,3.840531559,1.92026578,0,1.92026578
2164,3,c24,1,322.7179486,57.83475781,12.72364672,8.096866094,2.313390313,0,2.313390313,0,0
2164,3,c24,2,277.4952681,50.24605677,19.41324921,10.27760252,0,1.141955836,1.141955836,2.283911671,0
2164,3,c24,3,209.8245614,38.77192982,7.98245614,2.280701754,1.140350877,0,0,0,0
2164,3,t24,1,249.0131006,32.54148474,24.05240176,8.489082975,5.65938865,2.829694325,0,0,1.414847162
2164,3,t24,2,201.9278689,51.04918034,27.22622951,34.03278689,7.940983608,10.20983607,4.537704919,3.403278689,5.672131149
2164,3,t24,3,327.8571426,75.21428564,55.92857138,25.07142855,25.07142855,5.78571428,7.714285707,5.78571428,11.57142856
2164,5,c0,1,346.7961165,119.5339806,47.22330097,44.27184466,14.75728155,14.75728155,8.854368931,4.427184466,7.378640776
2164,5,c0,2,483.162791,153.5415283,97.19601334,46.48504986,29.58139536,14.08637875,9.860465122,2.817275749,11.269103
2164,5,c0,3,613.7411098,177.0128023,95.76102422,60.93883359,37.72403984,15.9601707,4.352773828,5.803698438,8.705547656
2164,5,c24,1,78.49101799,13.89221557,11.80838324,4.167664672,4.167664672,0,0.694610779,1.389221557,1.389221557
