"c_0","phi_0","a_0","a_py","a_pd","E_a","R_opt","gamma","h_0","h_py","h_pd","E_h"
3410175.17768796,404.721756429745,328755.517856969,11941856381.0964,1313.29803662526,415.243416294864,222.316478039819,643.173840499264,426.373172579225,415.303612432859,218.447035149604,415.268356823353
1525914.40552677,404.617341830811,326028.939860242,11934135310.9937,1292.65611881832,415.243493155536,226.589500505258,641.635924040764,426.321678122695,415.304166630359,218.447937733382,415.268356780031
907313.94947638,404.515254268741,323314.504938376,11926300941.2105,1272.49479134869,415.24357001627,231.849466698466,640.110578074617,426.270264378452,415.30471559422,218.448870189134,415.26835673671
611324.148132197,404.415505873228,320612.201490621,11918344019.2893,1252.80207647703,415.243646877064,239.109324324118,638.597669975783,426.218931044084,415.305259363718,218.449833514519,415.268356693389
443478.951147536,404.318108915762,317922.017958,11910254943.8555,1233.5663139904,415.24372373792,248.002648321645,637.097068810027,426.167677818958,415.305797977818,218.450828741079,415.268356650068
338088.645620659,404.223075811085,315243.942823021,11902023749.8766,1214.7761523934,415.243800598837,256.463734206656,635.608645308923,426.11650440421,415.306331475176,218.451856935413,415.268356606746
267171.526775839,404.130419118653,312577.964609397,11893640093.4982,1196.42054035239,415.243877459814,263.038088419439,634.132271845267,426.065410502725,415.30685989414,218.452919200412,415.268356563425
216978.68560233,404.04015154412,309924.071881758,11885093236.463,1178.48871838552,415.243954320853,267.853572960199,632.667822408908,426.014395819129,415.307383272753,218.454016676527,415.268356520104
180052.488669301,403.952285940831,307282.253245375,11876372030.1225,1160.97021079107,415.244031181953,272.104020387883,631.215172582967,425.963460059771,415.307901648754,218.45515054309,415.268356476782
152040.277975863,403.866835311332,304652.497345883,11867464899.0534,1143.85481780738,415.244108043114,277.126537106533,629.774199520461,425.912602932708,415.308415059585,218.456322019679,415.268356433461
130253.12513988,403.783812808903,302034.792869007,11858359824.2944,1127.13260799726,415.244184904336,283.616763684674,628.344781921309,425.861824147698,415.308923542388,218.45753236754,415.268356390139
