Cruise ,Station,rep,Calaniod,Oithonid,Corycaeid,Oncaeid,Harpacticoid,CN,ON,HN,other,Total 
2245,1,1,112,120,17,16,13,54,42,6,1,381
2245,1,2,149,137,14,5,14,72,42,5,1,439
2245,1,3,165,125,13,4,17,70,73,4,2,473
2245,5,1,55,192,13,68,38,73,63,4,1,507
2245,5,2,59,213,23,68,30,83,104,3,10,593
2245,5,3,79,165,16,72,50,76,76,7,3,544
2245,9,1,46,28,1,13,11,33,38,2,1,173
2245,9,2,80,47,4,9,15,83,41,1,1,281
2245,9,3,55,41,2,7,17,39,30,6,1,198
2164,1,1,33,111,6,11,35,206,24,13,11,450
2164,1,2,43,48,5,5,6,91,43,0,1,242
2164,1,3,25,174,8,15,33,148,120,27,3,553
2164,3,1,136,46,73,31,109,13,25,49,7,489
2164,3,2,447,64,109,66,118,48,61,82,13,1008
2164,3,3,78,56,95,51,109,32,32,69,17,539
2164,5,1,191,81,29,22,60,317,129,14,10,853
2164,5,2,116,63,15,10,31,214,127,19,8,603
2164,5,3,255,86,21,18,36,473,234,21,4,1148
2164,7,1,70,138,7,44,43,64,42,1,3,412
2164,7,2,123,122,9,46,53,81,56,8,4,502
2164,7,3,42,72,4,19,16,46,26,6,2,233
2164,9,1,56,30,3,5,0,19,11,1,0,125
2164,9,2,61,156,5,20,2,42,46,0,0,332
2164,9,3,142,151,13,30,2,64,57,1,4,464
2164,11,1,54,71,5,6,11,56,29,0,1,233
2164,11,2,49,33,5,6,5,54,13,0,1,166
2164,11,3,2,1,0,2,2,0,1,0,0,8
2248,1,1,5,3,0,1,1,4,16,2,1,33
2248,1,2,6,7,1,0,2,10,20,3,1,50
2248,1,3,10,0,0,0,1,1,16,6,0,34
2109,5,1,100,20,5,12,22,41,19,22,0,241
2109,5,2,106,24,4,4,20,35,13,10,1,217
2109,5,3,76,20,5,10,21,35,18,19,0,204
2057,1,1,257,650,22,79,22,127,101,11,7,1276
2057,1,2,179,625,8,76,28,77,42,4,2,1041
2057,1,3,200,385,21,91,28,98,81,4,7,915
2057,3,1,97,90,0,5,19,41,9,15,6,282
2057,3,2,94,106,4,6,22,37,9,10,2,290
2057,3,3,39,60,2,4,11,44,18,6,2,186
2057,5,1,7,20,0,5,16,25,18,8,0,99
2057,5,2,17,32,0,13,7,25,23,7,0,124
2057,5,3,7,19,0,2,13,24,19,7,0,91
2057,9,1,3,4,0,0,7,1,1,1,0,17
2057,9,2,21,16,1,2,9,15,10,1,0,75
2057,9,3,16,18,0,6,5,7,3,0,0,55
2057,11,1,109,266,14,79,73,173,55,17,0,786
2057,11,2,68,128,5,38,46,115,48,6,0,454
